entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.huskers_new_item_notifier,automation,Huskers – New item notifier,unavailable,,,,,supported_features,0
automation.huskers_new_item_notifier_2,automation,Huskers: New Item Notifier,unavailable,,,,,friendly_name,Huskers: New Item Notifier
automation.huskers_new_item_notifier_2,automation,Huskers: New Item Notifier,unavailable,,,,,id,huskers_new_item_notifier
automation.huskers_new_item_notifier_2,automation,Huskers: New Item Notifier,unavailable,,,,,restored,True
automation.huskers_new_item_notifier_2,automation,Huskers: New Item Notifier,unavailable,,,,,supported_features,0
automation.huskers_phase_observer_log,automation,Huskers: Phase Observer (Log),unavailable,,,,,friendly_name,Huskers: Phase Observer (Log)
automation.huskers_phase_observer_log,automation,Huskers: Phase Observer (Log),unavailable,,,,,id,huskers_phase_observer
automation.huskers_phase_observer_log,automation,Huskers: Phase Observer (Log),unavailable,,,,,restored,True
automation.huskers_phase_observer_log,automation,Huskers: Phase Observer (Log),unavailable,,,,,supported_features,0
automation.huskers_postgame,automation,Huskers: Postgame,unavailable,,,,,friendly_name,Huskers: Postgame
automation.huskers_postgame,automation,Huskers: Postgame,unavailable,,,,,id,huskers_postgame
automation.huskers_postgame,automation,Huskers: Postgame,unavailable,,,,,restored,True
automation.huskers_postgame,automation,Huskers: Postgame,unavailable,,,,,supported_features,0
automation.huskers_postgame_cleanup,automation,Huskers: Postgame Cleanup,on,,,,,current,0
automation.huskers_postgame_cleanup,automation,Huskers: Postgame Cleanup,on,,,,,friendly_name,Huskers: Postgame Cleanup
automation.huskers_postgame_cleanup,automation,Huskers: Postgame Cleanup,on,,,,,id,huskers_postgame_cleanup
automation.huskers_postgame_cleanup,automation,Huskers: Postgame Cleanup,on,,,,,last_triggered,2025-09-07T11:39:24.916312+00:00
automation.huskers_postgame_cleanup,automation,Huskers: Postgame Cleanup,on,,,,,mode,single
automation.huskers_postgame_cleanup_20,automation,Huskers – Postgame Cleanup (+20),unavailable,,,,,friendly_name,Huskers – Postgame Cleanup (+20)
